cost,7
p1,mon-am,desk-1
p1,mon-pm,desk-1
p1,tue-am,desk-1
p1,tue-pm,room-a
p1,wed-am,desk-1
p1,wed-pm,desk-1
p1,thu-am,desk-1
p1,thu-pm,none
p1,fri-am,desk-2
p1,fri-pm,desk-1
p2,mon-am,desk-1
p2,mon-pm,desk-1
p2,tue-am,desk-1
p2,tue-pm,room-a
p2,wed-am,desk-1
p2,wed-pm,desk-1
p2,thu-am,desk-1
p2,thu-pm,none
p2,fri-am,desk-2
p2,fri-pm,desk-1
p3,mon-am,desk-2
p3,mon-pm,none
p3,tue-am,desk-2
p3,tue-pm,none
p3,wed-am,desk-2
p3,wed-pm,none
p3,thu-am,desk-2
p3,thu-pm,none
p3,fri-am,desk-1
p3,fri-pm,none
p4,mon-am,desk-1
p4,mon-pm,none
p4,tue-am,none
p4,tue-pm,none
p4,wed-am,desk-2
p4,wed-pm,none
p4,thu-am,desk-1
p4,thu-pm,none
p4,fri-am,desk-1
p4,fri-pm,none
p5,mon-am,desk-1
p5,mon-pm,none
p5,tue-am,none
p5,tue-pm,none
p5,wed-am,desk-2
p5,wed-pm,none
p5,thu-am,desk-1
p5,thu-pm,none
p5,fri-am,desk-1
p5,fri-pm,none
p6,mon-am,desk-2
p6,mon-pm,desk-2
p6,tue-am,desk-2
p6,tue-pm,desk-1
p6,wed-am,desk-2
p6,wed-pm,desk-2
p6,thu-am,desk-2
p6,thu-pm,room-b
p6,fri-am,desk-1
p6,fri-pm,desk-2
